heure,pseudo,contexte,composant,evenement
2024-09-10 18:16:21,829,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #2,Système,Cours consulté
2024-09-10 18:17:13,829,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-10 18:27:03,829,Fichier: Fiche de cours sur les notions de base pour écrire un algorithme,Fichier,Module de cours consulté
2024-09-10 18:29:03,829,Fichier: Fiche de cours sur les conditionnelles,Fichier,Module de cours consulté
2024-09-10 18:49:02,829,Fichier: Fiche de cours sur les notions de base pour écrire un algorithme,Fichier,Module de cours consulté
2024-09-10 18:57:12,406,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-10 18:57:40,406,Fichier: ModeEmploiAlgo,Fichier,Module de cours consulté
2024-09-10 18:58:07,406,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-10 19:06:51,406,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-10 19:07:01,406,Fichier: Conseils,Fichier,Module de cours consulté
2024-09-10 19:07:20,406,Autre,Fichier,Module de cours consulté
2024-09-10 19:07:44,406,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-10 19:08:07,406,Fichier: Feuille de TD 1,Fichier,Module de cours consulté
2024-09-10 20:52:09,829,Autre,Fichier,Module de cours consulté
2024-09-10 20:52:29,829,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-10 20:53:18,829,Fichier: Fiche de cours sur les notions de base pour écrire un algorithme,Fichier,Module de cours consulté
2024-09-10 22:09:22,447,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-10 22:10:01,447,Fichier: Exemples sur les tableaux à une dimension,Fichier,Module de cours consulté
2024-09-10 22:10:16,447,Forum: Question Réponses,Forum,Module de cours consulté
2024-09-10 22:10:24,447,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-10 22:10:35,447,Fichier: ModeEmploiAlgo,Fichier,Module de cours consulté
2024-09-10 22:11:58,447,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-10 22:12:31,447,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-10 22:13:09,447,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-10 22:13:12,447,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-10 22:13:25,447,Autre,Fichier,Module de cours consulté
2024-09-11 07:36:20,817,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 07:47:35,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 08:23:30,344,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 09:03:05,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 09:03:08,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-11 09:03:33,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 09:26:24,829,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 09:26:56,829,Fichier: Fiche de cours sur les notions de base pour écrire un algorithme,Fichier,Module de cours consulté
2024-09-11 10:56:52,302,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 10:56:54,225,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 10:57:12,302,Fichier: Fiche de cours sur les conditionnelles,Fichier,Module de cours consulté
2024-09-11 10:57:29,225,"Test: Test : Ch. 1 – Variable, type et instructions de base",Test,Module de cours consulté
2024-09-11 10:57:36,225,Test: Test : Ch. 2 – Conditionnelle simple,Test,Module de cours consulté
2024-09-11 10:57:38,225,Test: Test : Ch. 3 – Les itérations,Test,Module de cours consulté
2024-09-11 10:57:40,225,Test: Test : Ch. 4 – Sous-algorithmes,Test,Module de cours consulté
2024-09-11 10:57:47,225,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 10:57:55,225,Autre,Fichier,Module de cours consulté
2024-09-11 10:58:21,302,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 11:06:39,899,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 11:07:29,899,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-11 11:07:37,899,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Profil utilisateur consulté
2024-09-11 11:12:42,899,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 13:38:17,562,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 13:42:28,562,Autre,Fichier,Module de cours consulté
2024-09-11 13:42:38,562,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 13:42:45,562,"Test: Test : Ch. 1 – Variable, type et instructions de base",Test,Module de cours consulté
2024-09-11 13:42:48,562,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 13:43:08,562,Fichier: Leçon 0 – Résumé,Fichier,Module de cours consulté
2024-09-11 13:48:59,795,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 13:49:35,795,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-11 13:50:22,795,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Profil utilisateur consulté
2024-09-11 13:54:41,433,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 14:01:49,662,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #2,Système,Cours consulté
2024-09-11 14:02:11,662,Fichier: Présentation du cours,Fichier,Module de cours consulté
2024-09-11 14:03:42,592,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 14:04:42,43,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 14:06:36,169,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 14:07:16,169,Fichier: Fiche de cours sur les notions de base pour écrire un algorithme,Fichier,Module de cours consulté
2024-09-11 14:07:35,409,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 14:08:35,409,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-11 14:08:50,169,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-11 14:09:49,686,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 14:09:58,686,Fichier: ModeEmploiAlgo,Fichier,Module de cours consulté
2024-09-11 14:10:05,409,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 14:10:09,686,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 14:10:10,686,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-11 14:10:32,686,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 14:19:39,357,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 14:20:15,357,Autre,Fichier,Module de cours consulté
2024-09-11 14:28:14,121,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 14:28:35,121,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-11 14:28:37,121,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-11 14:29:14,121,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 14:29:57,121,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Profil utilisateur consulté
2024-09-11 14:30:08,121,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 14:30:17,121,Fichier: ModeEmploiAlgo,Fichier,Module de cours consulté
2024-09-11 14:33:31,230,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 14:34:55,814,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 14:35:15,814,Fichier: Synthèse de la partie Algorithmique de l'UE PASS,Fichier,Module de cours consulté
2024-09-11 14:35:20,814,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 14:36:36,814,Fichier: Activités en autonomie sur les conditionnelles,Fichier,Module de cours consulté
2024-09-11 14:36:41,814,Fichier: Corrigés des activités sur les conditionnelles,Fichier,Module de cours consulté
2024-09-11 14:37:50,814,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #2,Système,Cours consulté
2024-09-11 14:55:46,121,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 14:56:52,121,Autre,Fichier,Module de cours consulté
2024-09-11 15:01:16,121,Autre,Fichier,Module de cours consulté
2024-09-11 15:01:36,121,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 15:01:52,121,Fichier: Leçon 0 – Résumé,Fichier,Module de cours consulté
2024-09-11 15:19:55,296,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 15:20:55,296,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-11 15:21:03,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Rapport du participant,Rapport d’évaluation utilisateur consulté
2024-09-11 15:21:30,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-11 15:22:06,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Profil utilisateur consulté
2024-09-11 15:22:11,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Profil utilisateur consulté
2024-09-11 15:22:17,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Profil utilisateur consulté
2024-09-11 15:22:44,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Profil utilisateur consulté
2024-09-11 15:23:06,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Profil utilisateur consulté
2024-09-11 15:31:28,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 15:31:29,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-11 15:31:54,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 15:32:35,400,Fichier: ModeEmploiAlgo,Fichier,Module de cours consulté
2024-09-11 15:34:26,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 15:34:54,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 15:34:59,400,Fichier: Conseils,Fichier,Module de cours consulté
2024-09-11 15:36:00,400,Fichier: Conventions,Fichier,Module de cours consulté
2024-09-11 15:36:33,400,Fichier: Méthodologie ,Fichier,Module de cours consulté
2024-09-11 15:37:13,400,Fichier: Contrat,Fichier,Module de cours consulté
2024-09-11 15:38:08,400,Fichier: Leçon 0 – Résumé,Fichier,Module de cours consulté
2024-09-11 15:38:25,400,Fichier: Fiche de cours sur les notions de base pour écrire un algorithme,Fichier,Module de cours consulté
2024-09-11 15:38:57,400,Fichier: Exemples sur les notions de base,Fichier,Module de cours consulté
2024-09-11 15:39:34,400,Fichier: Feuille TD2,Fichier,Module de cours consulté
2024-09-11 15:39:48,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 15:40:16,400,Fichier: Synthèse de la partie Algorithmique de l'UE PASS,Fichier,Module de cours consulté
2024-09-11 15:40:34,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 15:40:55,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-11 15:40:58,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 15:41:07,400,Test: Quiz – Leçon 6,Test,Module de cours consulté
2024-09-11 15:41:20,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 15:42:56,438,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 15:46:15,438,Fichier: Fiche de cours sur les notions de base pour écrire un algorithme,Fichier,Module de cours consulté
2024-09-11 15:46:30,438,Fichier: Exemples sur les notions de base,Fichier,Module de cours consulté
2024-09-11 15:47:02,438,Fichier: ModeEmploiAlgo,Fichier,Module de cours consulté
2024-09-11 15:49:46,15,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #2,Système,Cours consulté
2024-09-11 15:50:32,438,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 15:50:36,15,Forum: Forum d'échange sur la programmation,Forum,Module de cours consulté
2024-09-11 15:50:41,15,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #2,Système,Cours consulté
2024-09-11 15:50:49,15,Fichier: Présentation du cours,Fichier,Module de cours consulté
2024-09-11 15:51:13,15,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #2,Système,Cours consulté
2024-09-11 15:51:17,15,Fichier: Logiciels à installer sur votre ordinateur,Fichier,Module de cours consulté
2024-09-11 15:51:20,438,Fichier: Fiche de cours sur les conditionnelles,Fichier,Module de cours consulté
2024-09-11 15:51:23,15,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #2,Système,Cours consulté
2024-09-11 15:51:26,15,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #2,Système,Cours consulté
2024-09-11 15:51:33,15,Fichier: Structure d'un programme,Fichier,Module de cours consulté
2024-09-11 15:52:03,15,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #2,Système,Cours consulté
2024-09-11 15:56:51,93,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 15:57:48,93,Fichier: ModeEmploiAlgo,Fichier,Module de cours consulté
2024-09-11 15:59:03,93,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 15:59:06,93,Forum: Question Réponses,Forum,Module de cours consulté
2024-09-11 15:59:10,93,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 15:59:13,93,Fichier: Conseils,Fichier,Module de cours consulté
2024-09-11 16:00:08,93,Fichier: Conventions,Fichier,Module de cours consulté
2024-09-11 16:00:18,93,Fichier: Méthodologie ,Fichier,Module de cours consulté
2024-09-11 16:00:35,93,Fichier: Contrat,Fichier,Module de cours consulté
2024-09-11 16:02:15,93,Autre,Fichier,Module de cours consulté
2024-09-11 16:20:58,93,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:21:02,93,"Test: Test : Ch. 1 – Variable, type et instructions de base",Test,Module de cours consulté
2024-09-11 16:21:19,93,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:21:24,93,Test: Test : Ch. 2 – Conditionnelle simple,Test,Module de cours consulté
2024-09-11 16:21:28,93,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:21:34,93,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:21:36,93,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-11 16:22:35,93,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:22:44,93,Fichier: Fiche de cours sur les notions de base pour écrire un algorithme,Fichier,Module de cours consulté
2024-09-11 16:26:05,814,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:26:14,814,Fichier: Leçon 0 – Résumé,Fichier,Module de cours consulté
2024-09-11 16:26:20,814,Autre,Fichier,Module de cours consulté
2024-09-11 16:26:28,814,Fichier: ModeEmploiAlgo,Fichier,Module de cours consulté
2024-09-11 16:26:46,814,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-11 16:26:52,814,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:28:14,814,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:29:05,814,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #2,Système,Cours consulté
2024-09-11 16:29:57,629,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:30:01,814,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:30:05,629,Fichier: ModeEmploiAlgo,Fichier,Module de cours consulté
2024-09-11 16:30:36,814,Fichier: Exemples sur les notions de base,Fichier,Module de cours consulté
2024-09-11 16:30:41,629,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:31:26,629,Fichier: Leçon 0 – Résumé,Fichier,Module de cours consulté
2024-09-11 16:31:26,629,Autre,Fichier,Module de cours consulté
2024-09-11 16:32:19,814,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #2,Système,Cours consulté
2024-09-11 16:32:23,814,Fichier: Logiciels à installer sur votre ordinateur,Fichier,Module de cours consulté
2024-09-11 16:34:09,475,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:34:22,475,Fichier: Leçon 0 – Résumé,Fichier,Module de cours consulté
2024-09-11 16:34:52,475,Fichier: Fiche de cours sur les notions de base pour écrire un algorithme,Fichier,Module de cours consulté
2024-09-11 16:36:19,475,Fichier: Feuille de TD 1,Fichier,Module de cours consulté
2024-09-11 16:37:15,415,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:37:18,415,Fichier: ModeEmploiAlgo,Fichier,Module de cours consulté
2024-09-11 16:37:28,415,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:37:32,415,Autre,Fichier,Module de cours consulté
2024-09-11 16:38:08,415,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:38:17,415,Fichier: Leçon 0 – Résumé,Fichier,Module de cours consulté
2024-09-11 16:38:57,415,Fichier: Feuille de TD 2,Fichier,Module de cours consulté
2024-09-11 16:39:04,415,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:39:06,415,Fichier: Fiche de cours sur les sous-algorithmes,Fichier,Module de cours consulté
2024-09-11 16:39:09,415,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:39:46,415,Fichier: Fiche sur les tableaux à plusieurs dimensions,Fichier,Module de cours consulté
2024-09-11 16:47:18,629,Fichier: Fiche de cours sur les notions de base pour écrire un algorithme,Fichier,Module de cours consulté
2024-09-11 16:47:20,629,Fichier: Exemples sur les notions de base,Fichier,Module de cours consulté
2024-09-11 16:47:30,629,"Test: Test : Ch. 1 – Variable, type et instructions de base",Test,Module de cours consulté
2024-09-11 16:47:38,629,Test: Test : Ch. 2 – Conditionnelle simple,Test,Module de cours consulté
2024-09-11 16:47:45,629,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:47:47,629,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:47:55,629,Test: Quiz – Leçon 1 : base,Test,Module de cours consulté
2024-09-11 16:52:18,562,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 17:09:27,570,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 17:10:57,570,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #2,Système,Cours consulté
2024-09-11 17:14:14,814,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 17:14:42,814,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #2,Système,Cours consulté
2024-09-11 17:16:22,318,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 17:44:42,860,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 17:44:44,860,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 17:45:27,860,Fichier: ModeEmploiAlgo,Fichier,Module de cours consulté
2024-09-11 17:47:01,903,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 18:14:58,469,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 18:15:08,469,Fichier: ModeEmploiAlgo,Fichier,Module de cours consulté
2024-09-11 18:21:54,975,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 18:24:20,469,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 18:24:45,469,Autre,Fichier,Module de cours consulté
2024-09-11 18:28:36,65,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Profil utilisateur consulté
2024-09-11 18:28:51,65,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #2,Système,Profil utilisateur consulté
2024-09-11 18:28:56,65,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #2,Rapport du participant,Rapport d’évaluation utilisateur consulté
2024-09-11 18:29:16,469,Fichier: Leçon 0 – Résumé,Fichier,Module de cours consulté
2024-09-11 18:29:26,469,Autre,Fichier,Module de cours consulté
2024-09-11 18:29:31,469,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 18:29:42,469,Fichier: Contrat,Fichier,Module de cours consulté
2024-09-11 18:29:55,469,Fichier: Méthodologie ,Fichier,Module de cours consulté
2024-09-11 18:30:04,469,Fichier: Conseils,Fichier,Module de cours consulté
2024-09-11 18:30:13,469,"Test: Test : Ch. 1 – Variable, type et instructions de base",Test,Module de cours consulté
2024-09-11 18:30:19,469,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 18:30:33,469,Fichier: Fiche de cours sur les notions de base pour écrire un algorithme,Fichier,Module de cours consulté
2024-09-11 19:56:25,686,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 20:14:05,93,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 20:14:20,93,Fichier: Fiche de cours sur les conditionnelles,Fichier,Module de cours consulté
2024-09-11 20:14:37,93,Test: Quiz – Leçon 1 : base,Test,Module de cours consulté
2024-09-11 20:14:47,93,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 20:19:54,602,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 20:20:41,602,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-11 20:20:47,602,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 20:26:21,602,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 20:26:26,602,Fichier: ModeEmploiAlgo,Fichier,Module de cours consulté
2024-09-11 20:29:02,602,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 20:29:06,602,Fichier: Conseils,Fichier,Module de cours consulté
2024-09-11 20:30:12,602,Fichier: Conventions,Fichier,Module de cours consulté
2024-09-11 20:30:43,602,Fichier: Contrat,Fichier,Module de cours consulté
2024-09-11 21:33:55,773,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 21:34:12,773,Fichier: ModeEmploiAlgo,Fichier,Module de cours consulté
2024-09-11 21:34:33,773,Autre,Fichier,Module de cours consulté
2024-09-11 21:34:37,773,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 21:35:06,773,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
